2015-08-19 14:49:58,412 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:49:58,594 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:49:58,606 | INFO  | Recovering from the journal @1:4917 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:49:58,608 | INFO  | Recovery replayed 9 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:49:58,755 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55044-1439992198633-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:49:58,772 | INFO  | Listening for connections at: tcp://lnz123701n02:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:49:58,774 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:49:58,779 | INFO  | Listening for connections at: amqp://lnz123701n02:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:49:58,783 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:49:58,789 | INFO  | Listening for connections at: stomp://lnz123701n02:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:49:58,792 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:49:58,797 | INFO  | Listening for connections at: mqtt://lnz123701n02:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:49:58,800 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:49:58,923 | INFO  | Listening for connections at ws://lnz123701n02:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-08-19 14:49:58,923 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:49:58,926 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55044-1439992198633-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:49:58,928 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:49:59,302 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:49:59,302 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:49:59,350 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-08-19 14:49:59,542 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-08-19 14:52:32,962 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55044-1439992198633-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-25
2015-08-19 14:52:32,965 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-08-19 14:52:32,966 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-08-19 14:52:32,969 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-08-19 14:52:32,971 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-08-19 14:52:33,035 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-25
2015-08-19 14:52:33,039 | INFO  | PListStore:[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-25
2015-08-19 14:52:33,039 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-08-19 14:52:33,040 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-08-19 14:52:33,041 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-25
2015-08-19 14:52:33,121 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55044-1439992198633-0:1) uptime 2 minutes | org.apache.activemq.broker.BrokerService | Thread-25
2015-08-19 14:52:33,122 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55044-1439992198633-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-25
2015-08-19 14:52:33,123 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@643b1d11: startup date [Wed Aug 19 14:49:57 GMT+01:00 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-25
2015-08-19 14:52:33,139 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-25
2015-08-19 14:55:51,279 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3a82f6ef: startup date [Wed Aug 19 14:55:51 GMT+01:00 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-19 14:55:52,892 | INFO  | PListStore:[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/activemq-data/amq-broker/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-08-19 14:55:52,910 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/dynamic-broker1/kahadb] | org.apache.activemq.broker.BrokerService | main
